"topic","Words"
1,"fan, spin, stick, pen, cd, magnet, spinning, spoke, magnets, top, spins, ring, card, ceiling, cone, cut, propeller, blades, coin, round"
2,"water, glass, pipe, light, weight, ring, experiment, coin, bowl, spring, inside, balance, force, oil, air, piece, move, wheel, stone, balls"
3,"water, straw, glass, hot, bottle, cut, experiment, candle, air, marble, hole, inside, cold, top, paper, chimney, cup, plate, rise, surface"
4,"motor, coil, wire, battery, magnet, magnets, led, copper, current, strong, pulley, volt, field, neodymium, light, spin, magnetic, aluminum, connect, switch"
5,"card, cut, cup, paper, legs, butterfly, pieces, stick, box, puzzle, sheet, doll, glue, tail, plastic, piece, dance, top, shape, square"
6,"balloon, solution, water, air, beaker, color, add, oranges, reaction, acid, experiment, syringe, inflate, shrink, plunger, nitrate, mixture, fill, empty, crystals"
7,"sun, earth, moon, hemisphere, degrees, days, angle, angles, pyramid, northern, day, cut, shadow, summers, time, soap, tropic, film, directly, summer"
8,"fold, paper, square, cut, strip, triangle, model, half, triangles, sheet, glue, stick, card, shown, line, lines, beautiful, top, left, scissors"
9,"tree, flowers, fruit, leaves, leaf, trees, called, india, flower, banyan, gear, wood, grown, red, beautiful, pod, mars, green, rupner, fruits"
10,"bottle, lid, ball, plastic, hole, straw, air, water, tube, pump, rupner, cut, press, holes, screw, base, mouth, cycle, inside, rubber"
11,"sticks, candle, structure, matchsticks, size, triangles, box, tetrahedron, light, tube, oxygen, squares, fire, dioxide, inside, carbon, square, deer, valve, pentagons"
12,"thread, loop, string, stick, red, lantern, beads, straws, top, weave, pull, band, twist, tie, rubber, loops, strips, hang, cube, glue"
