"id","topic","word","beta","topic_probability"
1,12,"red",0.0118649592085803,0.987976373209763
1,12,"wonderful",0.00364187935145173,0.987976373209763
1,12,"bird",0.0036292684234462,0.987976373209763
1,12,"story",0.00231018108773043,0.987976373209763
1,12,"story",0.00231018108773043,0.987976373209763
1,12,"story",0.00231018108773043,0.987976373209763
1,12,"friendship",0.00145287792325915,0.987976373209763
1,12,"lovely",0.00135907375655352,0.987976373209763
1,12,"brush",0.000581151169303658,0.987976373209763
1,12,"lion",0.000581151169303658,0.987976373209763
1,12,"lion",0.000581151169303658,0.987976373209763
1,12,"written",0.000581151169303658,0.987976373209763
1,12,"tail",0.000351575593759074,0.987976373209763
1,12,"curious",0.000290575584651829,0.987976373209763
1,12,"accomplished",0.000290575584651829,0.987976373209763
1,12,"artist",0.000290575584651829,0.987976373209763
1,12,"dramatized",0.000290575584651829,0.987976373209763
1,12,"dreadful",0.000290575584651829,0.987976373209763
1,12,"eliza",0.000290575584651829,0.987976373209763
1,12,"feared",0.000290575584651829,0.987976373209763
1,12,"klevin",0.000290575584651829,0.987976373209763
1,12,"lions",0.000290575584651829,0.987976373209763
1,12,"notion",0.000290575584651829,0.987976373209763
1,12,"paints",0.000290575584651829,0.987976373209763
1,12,"version",0.000290575584651829,0.987976373209763
2,6,"balloon",0.068227371304876,0.988432984975609
2,6,"balloon",0.068227371304876,0.988432984975609
2,6,"balloon",0.068227371304876,0.988432984975609
2,6,"air",0.024535764105212,0.988432984975609
2,6,"experiment",0.00799170787623004,0.988432984975609
2,6,"syringe",0.00686851513345952,0.988432984975609
2,6,"shrink",0.00616949434477769,0.988432984975609
2,6,"plunger",0.00616945104732168,0.988432984975609
2,6,"plunger",0.00616945104732168,0.988432984975609
2,6,"ml",0.00452413572219087,0.988432984975609
2,6,"baby",0.00435493872678089,0.988432984975609
2,6,"baby",0.00435493872678089,0.988432984975609
2,6,"pulling",0.002531290117167,0.988432984975609
2,6,"increase",0.00173695776547019,0.988432984975609
2,6,"pressure",0.00172153128256449,0.988432984975609
2,6,"outlet",0.0012817648815607,0.988432984975609
2,6,"pushing",0.00126735025388716,0.988432984975609
2,6,"plastic",0.00119984275947361,0.988432984975609
2,6,"law",0.00111814261678796,0.988432984975609
2,6,"injection",0.000362911560565074,0.988432984975609
2,6,"boyle's",0.000362911560565074,0.988432984975609
2,6,"demonstration",0.000362911560565074,0.988432984975609
2,6,"enlarge",0.000362911560565074,0.988432984975609
2,6,"graphic",0.000362911560565074,0.988432984975609
2,6,"shutting",0.000362911560565074,0.988432984975609
2,6,"syr.html",0.000362911560565074,0.988432984975609
3,3,"straw",0.0369565955354953,0.836427786161839
3,3,"straw",0.0369565955354953,0.836427786161839
3,3,"blow",0.00484292385905774,0.836427786161839
3,3,"blow",0.00484292385905774,0.836427786161839
3,3,"piece",0.00291462525040237,0.836427786161839
3,3,"round",0.0025421156448372,0.836427786161839
3,3,"round",0.0025421156448372,0.836427786161839
3,3,"children",0.00133382654361,0.836427786161839
3,3,"children",0.00133382654361,0.836427786161839
3,3,"joy",0.000919973085019671,0.836427786161839
3,3,"bringing",0.000767785291627601,0.836427786161839
3,3,"asthma",0.000613315390013114,0.836427786161839
3,3,"boon",0.000613315390013114,0.836427786161839
3,3,"egging",0.000613315390013114,0.836427786161839
3,3,"exerciser",0.000613315390013114,0.836427786161839
3,3,"harder",0.000613315390013114,0.836427786161839
3,3,"lung",0.000613315390013114,0.836427786161839
3,3,"lungs",0.000613315390013114,0.836427786161839
3,3,"suffering",0.000613315390013114,0.836427786161839
3,3,"threadloop.html",0.000613315390013114,0.836427786161839
3,3,"immense",0.000613315389980432,0.836427786161839
3,3,"child",0.000613291458492257,0.836427786161839
3,3,"exercise",0.000601298490119909,0.836427786161839
3,3,"thread",7.76443731233301e-18,0.836427786161839
3,3,"thread",7.76443731233301e-18,0.836427786161839
3,3,"loop",2.67530415972702e-23,0.836427786161839
4,6,"balloon",0.068227371304876,0.719905830473783
4,6,"air",0.024535764105212,0.719905830473783
4,6,"air",0.024535764105212,0.719905830473783
4,6,"inflated",0.00258672318259527,0.719905830473783
4,6,"push",0.00210298494691318,0.719905830473783
4,6,"escaping",0.00181455780228966,0.719905830473783
4,6,"surface",0.00170376917060705,0.719905830473783
4,6,"escapes",0.00145164612227535,0.719905830473783
4,6,"slowly",0.00135816920985266,0.719905830473783
4,6,"center",0.0012463599624518,0.719905830473783
4,6,"lovely",0.000752384564092884,0.719905830473783
4,6,"principle",0.000445764274982409,0.719905830473783
4,6,"cushion",0.000362911560565074,0.719905830473783
4,6,"hovercraft.html",0.000362911560565074,0.719905830473783
4,6,"hovercrafts",0.000362911560565074,0.719905830473783
4,6,"skim",0.000362911560565074,0.719905830473783
4,6,"hovercraft",0.000362911551386154,0.719905830473783
4,6,"gentle",0.000272555107886294,0.719905830473783
4,6,"smooth",2.74763969913965e-05,0.719905830473783
4,6,"smoothly",9.79171226015065e-10,0.719905830473783
4,6,"cd",2.162782683234e-26,0.719905830473783
4,6,"cd",2.162782683234e-26,0.719905830473783
4,6,"cd",2.162782683234e-26,0.719905830473783
5,10,"press",0.00840066357705328,0.61240682774934
5,10,"mouth",0.00719682488047864,0.61240682774934
5,10,"mouth",0.00719682488047864,0.61240682774934
5,10,"rubber",0.00649812181123092,0.61240682774934
5,10,"experiment",0.00325611218666168,0.61240682774934
5,10,"enormous",0.000889950117947742,0.61240682774934
5,10,"separate",0.000475476237218301,0.61240682774934
5,10,"vacuum",0.000467072972123096,0.61240682774934
5,10,"vacuum",0.000467072972123096,0.61240682774934
5,10,"pulling",0.000466783728542694,0.61240682774934
5,10,"drains",0.000453480810266376,0.61240682774934
5,10,"cleaning",0.000226740412245149,0.61240682774934
5,10,"plungers",0.000226740412245149,0.61240682774934
5,10,"pushplungers.html",0.000226740412245149,0.61240682774934
5,10,"sanitary",0.000226740412245149,0.61240682774934
5,10,"demonstrates",3.26552136822709e-08,0.61240682774934
5,10,"demonstrates",3.26552136822709e-08,0.61240682774934
5,10,"difficult",2.27726979809671e-11,0.61240682774934
5,10,"power",6.62522607636784e-12,0.61240682774934
5,10,"power",6.62522607636784e-12,0.61240682774934
5,10,"lock",7.45460590466215e-19,0.61240682774934
6,1,"ball",0.00585922839594235,0.604682062101869
6,1,"ball",0.00585922839594235,0.604682062101869
6,1,"ball",0.00585922839594235,0.604682062101869
6,1,"ball",0.00585922839594235,0.604682062101869
6,1,"air",0.00474792065898288,0.604682062101869
6,1,"air",0.00474792065898288,0.604682062101869
6,1,"air",0.00474792065898288,0.604682062101869
6,1,"hole",0.00474737520032123,0.604682062101869
6,1,"hole",0.00474737520032123,0.604682062101869
6,1,"straw",0.0046220249714062,0.604682062101869
6,1,"fun",0.00276298315415408,0.604682062101869
6,1,"blow",0.00260361213210173,0.604682062101869
6,1,"hanging",0.00158110660510744,0.604682062101869
6,1,"ping",0.0014353268018711,0.604682062101869
6,1,"ping",0.0014353268018711,0.604682062101869
6,1,"pong",0.00143532674866512,0.604682062101869
6,1,"pong",0.00143532674866512,0.604682062101869
6,1,"stream",0.00115196270049831,0.604682062101869
6,1,"stream",0.00115196270049831,0.604682062101869
6,1,"experiment",0.000885512496444433,0.604682062101869
6,1,"punch",0.000496710828422863,0.604682062101869
6,1,"fat",0.000370989525698878,0.604682062101869
6,1,"levitate",0.00020971524586599,0.604682062101869
6,1,"afloat",0.000205046691446313,0.604682062101869
6,1,"floating.html",0.000205046691446313,0.604682062101869
6,1,"seal",5.55588632566651e-14,0.604682062101869
7,10,"bottle",0.0804773756399128,0.989249510640577
7,10,"bottle",0.0804773756399128,0.989249510640577
7,10,"bottle",0.0804773756399128,0.989249510640577
7,10,"bottle",0.0804773756399128,0.989249510640577
7,10,"air",0.0147127707590675,0.989249510640577
7,10,"tube",0.0112643037923431,0.989249510640577
7,10,"pump",0.0103750804281604,0.989249510640577
7,10,"filled",0.00252202171117082,0.989249510640577
7,10,"forwards",0.00216794110408135,0.989249510640577
7,10,"forwards",0.00216794110408135,0.989249510640577
7,10,"cork",0.00204066371020634,0.989249510640577
7,10,"cork",0.00204066371020634,0.989249510640577
7,10,"children",0.00203333403727737,0.989249510640577
7,10,"car",0.00147230394949986,0.989249510640577
7,10,"car",0.00147230394949986,0.989249510640577
7,10,"car",0.00147230394949986,0.989249510640577
7,10,"jet",0.00113245571502329,0.989249510640577
7,10,"jet",0.00113245571502329,0.989249510640577
7,10,"compressed",0.00097253668327926,0.989249510640577
7,10,"connected",0.000742201006182925,0.989249510640577
7,10,"pumping",0.000680221236735447,0.989249510640577
7,10,"feet",0.00063078380280996,0.989249510640577
7,10,"bicycle",0.000561496769172482,0.989249510640577
7,10,"bottlejet.htmls",0.000226740412245149,0.989249510640577
7,10,"detaches",0.000226740412245149,0.989249510640577
7,10,"favorite",0.000226740412245149,0.989249510640577
7,10,"lo",0.000226740412245149,0.989249510640577
7,10,"shoots",0.000226740412245149,0.989249510640577
8,3,"water",0.0844364640772076,0.989616017813848
8,3,"water",0.0844364640772076,0.989616017813848
8,3,"water",0.0844364640772076,0.989616017813848
8,3,"glass",0.0352894616822709,0.989616017813848
8,3,"glass",0.0352894616822709,0.989616017813848
8,3,"glass",0.0352894616822709,0.989616017813848
8,3,"glass",0.0352894616822709,0.989616017813848
8,3,"experiment",0.0126330475760854,0.989616017813848
8,3,"experiment",0.0126330475760854,0.989616017813848
8,3,"candle",0.0121956530394556,0.989616017813848
8,3,"rise",0.00629902863785046,0.989616017813848
8,3,"rise",0.00629902863785046,0.989616017813848
8,3,"vacuum",0.00340462832878013,0.989616017813848
8,3,"partial",0.00328548160577979,0.989616017813848
